,0
0,Arkansas
1,Colorado
2,Georgia
3,Hawaii
4,Illinois
5,Indiana
6,Iowa
7,Kansas
8,Minnesota
9,Mississippi
10,Missouri
11,Nebraska
12,New Hampshire
13,New Mexico
14,North Dakota
15,Oklahoma
16,Oregon
17,Rhode Island
18,South Dakota
19,Utah
20,Vermont
21,Virginia
22,West Virginia
23,Wisconsin
